bcc,0.17.0,Apache-2.0
bpftrace,0.11.4,Apache-2.0
castxml,0.3.6,Apache-2.0
clang,12.0.0,Apache-2.0-with-LLVM-exception
clang-cross-canadian-i686,12.0.0,Apache-2.0-with-LLVM-exception
clang-cross-i686,12.0.0,Apache-2.0-with-LLVM-exception
clang-crosssdk-x86_64,12.0.0,Apache-2.0-with-LLVM-exception
compiler-rt,12.0.0,Apache-2.0-with-LLVM-exception
libclc,12.0.0,Apache-2.0-with-LLVM-exception
libcxx,12.0.0,Apache-2.0-with-LLVM-exception
llvm-project-source-12.0.0,12.0.0,Apache-2.0-with-LLVM-exception
nativesdk-clang-glue,1.0,Apache-2.0-with-LLVM-exception
openmp,12.0.0,Apache-2.0-with-LLVM-exception
spirv-llvm-translator,12.0.0,NCSA
